video_id,title,description,view_count,like_count,comment_count,duration
bCwGhJ1Flew,Macera Dolu Amerika ! | Los Angeles,"Uzun bir seyahata çıkıyoruz ilk durak Los Angeles ve tabiki Universal Studios”da maceraya doyuyoruz. Sürücüz araçlardan süper kahramanlara her şey var. Umarım eğlenirsiniz iyi seyirler :) 


Sponsorumuz Goal Battle'ı indirip oynamak için;

Android: https://tem.ag/goalbattle-a
iOS: https://tem.ag/goalbattle-ios 

Darüşşafaka Deprem Öğrenci Destek Kampanyası 👇
http://bit.ly/3m5nxTZ

iletişim: noluyoya@temtalent.com",338859,27939,1617,3175
5EyV4tzN4jo,Tickkatli olun !,,72122,2559,56,27
Ug8FZtYPXoQ,Bi Bakıp Çıkıcaz Lyon | Vlog,"Fırat ve Ceyda, Lyon şehrini kuklalar ve balıklarla gezerken Fırat kayboluyor üzerine yine dolandırılıyor . Bol eğlenceli bir vlog oldu iyi seyirler :) 

Darüşşafaka Deprem Öğrenci Destek Kampanyası 👇
http://bit.ly/3m5nxTZ

iletişim: noluyoya@temtalent.com",856083,40680,1532,2083
HnbL2uWZG9k,Bu bir Hatay'dı Keşke Söylemeseydim,Hatay Sokak Lezzetleri,196406,5549,94,23
SM4joUDgA_s,Yoklukta gider :),,957803,0,305,19
MfqeA2a1uzE,Nurgül Yeşilçay Bulduğunu Dövüyor :),Noluyo Ya,164302,3314,36,22
cNKH_AvXMuA,Heidi Şimdi Gel İsviçre | Vlog,"İsviçre köyleri ve çikolatasını deneyimlerken uzaylılarla karşılaşıyoruz :) iyi seyirler 

Darüşşafaka Deprem Öğrenci Destek Kampanyası 👇
http://bit.ly/3m5nxTZ

iletişim: noluyoya@temtalent.com",1364087,58859,2734,2117
sVP6AoRB61k,Osaka Kırmızı Çizgimizdir !,,328946,5800,48,17
gu34bWPKH90,Fırat böyle pasta yapmayı nereden öğrendi ?,Pasta yapmak diyince çap çap usta ...,382027,9636,91,14
h71x9n-TeNU,Z kuşağı anladı :),,873675,16016,98,23
7zQ46CjLjWk,Ev işlerinin olmazsa olmazları nelerdir ?,Çiti boy hijyen kuralları,1111281,28599,267,60
FrQ2Ry09eIs,İnstagram’da Göründüğü Gibi Mi ?,"Bakalım yurtdışı özellikle colmar ve eguisheim sosyal medyadaki fotoğrafları gibi mi ? Eğlenceli bir gezi oldu umarım eğlenirsiniz. 

Sponsor: Yandex’i şimdi deneyin: https://tem.ag/4jEtMGN


Darüşşafaka Deprem Öğrenci Destek Kampanyası 👇
http://bit.ly/3m5nxTZ

iletişim: noluyoya@temtalent.com",1133281,49202,1558,1849
uirn5nD7W88,Motivasyonsa Motivasyon !,Ceyda'nın vizyonu 6 milyon aboneye ulaşıyor.,1107987,28520,277,52
3Q1WU8TtB3A,Sizinde Djy'iniz bişi varsa yorumlara,,159583,4847,43,20
iYcUBdPv5lY,Klüpte Kız Nasıl Tavlanır ?,,604883,13358,66,21
WyHolEH88ho,Avrupa'nın Antep’i Sokak Lezzetleri,"Fransanın gastronomi şehri Lyon da lezzetleri test ediyoruz. Gerçekten söylendiği kadar lezzetli mi ? İyi seyirler :)

Sponsor: 160 + ülkede internete kolayca bağlanmak için eSIM io Linki:
https://esimio.onelink.me/13Ce/noluyoya

Darüşşafaka Deprem Öğrenci Destek Kampanyası 👇
http://bit.ly/3m5nxTZ

iletişim: noluyoya@temtalent.com",1813743,72637,2877,2008
pJEnXKkcPnY,Trip Atanlar Yoruma :),Aya bile trip atarım,209013,5806,79,15
9Tqg9bNJSfw,Elon Musk Esprileri ...,Elon musk görse ne derdi ?,304419,11018,118,37
_JTF_L3uLPw,Boy farkımız asla değişmez,,2085272,85574,1455,15
ybQt3LDTeWE,Uykusuz Sahura Doğru Noluyo Ya,"Fırat bu sefer uyumuyor ceyda ise çiçekli rüyasından uyanıyor. Gerisi patatesli ıspanaklı harika bir yumurta ile sahur :) umarım eğlenirsiniz iyi seyirler

Sponsor: Anlık market ihtiyaçlarınız için: https://migros.go.link/iVNh7

Darüşşafaka Deprem Öğrenci Destek Kampanyası 👇
http://bit.ly/3m5nxTZ

iletişim: noluyoya@temtalent.com",1748605,73709,2810,1586
3nk24qCk5YE,Nerde Yedin Paraları ?,"Darüşşafaka Deprem Öğrenci Destek Kampanyası 👇
http://bit.ly/3m5nxTZ

iletişim: noluyoya@temtalent.com",2190004,85304,487,48
oRz-RcuTfao,Çince sallama kapasitemiz,,1980771,44327,427,37
EzoEVvsBGcM,Seni oynatan o şarkı nedir ?,,367225,17609,184,17
wVBdnchKunk,Bu benim tasarımım,,1870519,55009,801,12
jq_DzxGQBI4,Bi 10 dakika daha lazım,,1241121,39473,312,12
AkY5dUSCpWE,Dünyanın En Lüks Atıştırmalıkları !,"En lüks dünya atıştırmalıklarını topladık bakalım tadlarıda ambalajları kadar güzelmi ? İyi eğlenceler :) 

Darüşşafaka Deprem Öğrenci Destek Kampanyası 👇
http://bit.ly/3m5nxTZ

iletişim: noluyoya@temtalent.com",2038297,83627,2736,1717
klLlp2-OHOU,Gulyabani İle Bir Gece ? | Vlog,"Bu sefer bir sinemaya gidiyoruz . Hem tarihi hem de müzesi ile çok etkili iyi seyirler. 

Sponsor: Honor Magic 7 Pro için: https://tem.ag/4i4NYAT


Darüşşafaka Deprem Öğrenci Destek Kampanyası 👇
http://bit.ly/3m5nxTZ

iletişim: noluyoya@temtalent.com",1098734,54851,2336,2132
LJBjVTa2sPw,Damat Fırat’ın Aile Evimde İmtahanı,"Aile evime gidiyoruz sizlere keyifli bir vlog çekmek istedik içinde sürprizler var :) umarım eğlenirsiniz 

Darüşşafaka Deprem Öğrenci Destek Kampanyası 👇
http://bit.ly/3m5nxTZ

iletişim: noluyoya@temtalent.com",1501018,83279,2800,1751
